run=cdan  iters_per_epoch=203  total_iters=6090  (epoch 1 covers iters 0..202)
iter    p       alpha    cls        domain        feat_L2   max|dlogit|   bb_grad
   0  0.0000  0.0000     2.233        0.712    20.69         0.17      9.81
  10  0.0016  0.0082     1.341        0.504    26.39         0.95     12.48
  20  0.0033  0.0164     0.943        0.401    34.00         2.47     12.82
  30  0.0049  0.0246     0.538        0.284    35.43         3.14      7.43
  40  0.0066  0.0328     0.363        0.265    42.76         4.95      8.66
  50  0.0082  0.0410     0.506        0.252    43.87         3.82     11.33
  60  0.0099  0.0492     0.670        0.230    36.34         2.71     14.15
  70  0.0115  0.0574     0.546        0.306    50.16         5.27      9.94
  80  0.0131  0.0656     0.356        0.300    56.23         4.72     11.63
  90  0.0148  0.0738     0.199        0.393    45.74         4.86      6.71
 100  0.0164  0.0819     0.692        0.396    50.95         5.00     15.92
 110  0.0181  0.0901     0.185        0.606    40.69         3.72      3.69
 120  0.0197  0.0982     0.527        0.598    48.67         3.86      8.49
 130  0.0213  0.1063     0.150        0.623    56.90         2.77      6.18
 140  0.0230  0.1144     0.370        1.072    60.46         3.95      7.20
 150  0.0246  0.1225     0.297        1.047    70.71         3.08     12.07
 160  0.0263  0.1306     0.306        1.861    79.73         4.83     11.55
 170  0.0279  0.1387     0.829        7.884   395.13        31.31     28.87
 180  0.0296  0.1467     3.763       77.948  2756.12       199.89    105.35
 190  0.0312  0.1547  1108.351    17701.186  303202.75     23333.09  19795.86
 200  0.0328  0.1627    37.097    44444.840  4145448.50    211456.08  112442.66
 210  0.0345  0.1707  44197.660  2154594.000  48221216.00   1982153.62  3514673.62
 220  0.0361  0.1787  138508.250  1116314.500  867968000.00  55389136.00  3546216.49
 230  0.0378  0.1866  2089.773     2736.530  1474145.00     21049.62  10452429.25
 240  0.0394  0.1945  4309.908     4787.530  2103925.25     25157.40  4394669.64
 250  0.0411  0.2024  3740.628     2897.749  1785611.75     43228.87  3685488.08
 260  0.0427  0.2103  11395.058     4393.491  1151922.38     21000.24  3058332.48
 270  0.0443  0.2181  5659.716     1578.252  661496.94      7670.82  1013086.29
 280  0.0460  0.2259  2916.599      438.409  196596.80      3808.09  363851.56
 290  0.0476  0.2337   402.742       29.041  24072.05       212.14  87272.09
