run=dann  iters_per_epoch=203  total_iters=6090  (epoch 1 covers iters 0..202)
iter    p       alpha    cls        domain        feat_L2   max|dlogit|   bb_grad
   0  0.0000  0.0000     2.233        0.767    20.69         1.32      9.81
  10  0.0016  0.0082     1.344        0.511    26.56         1.28     12.57
  20  0.0033  0.0164     0.961        0.486    34.01         1.74     12.83
  30  0.0049  0.0246     0.551        0.355    35.10         1.95      7.24
  40  0.0066  0.0328     0.388        0.271    43.29         4.59      9.43
  50  0.0082  0.0410     0.472        0.342    47.10         2.65     11.86
  60  0.0099  0.0492     0.643        0.372    40.11         2.13     14.61
  70  0.0115  0.0574     0.482        0.443    52.01         4.41      9.61
  80  0.0131  0.0656     0.388        0.715    57.05         3.26     10.92
  90  0.0148  0.0738     0.225        0.713    47.64         3.02      6.24
 100  0.0164  0.0819     0.753        1.007    54.41         2.19     14.87
 110  0.0181  0.0901     0.259        1.084    60.99         2.49      5.75
 120  0.0197  0.0982     0.638        5.243   194.60        11.13     24.79
 130  0.0213  0.1063    10.794      185.216  3991.43       470.04    375.93
 140  0.0230  0.1144    66.168     2206.232  90210.34      8284.78   1847.11
 150  0.0246  0.1225   254.154    60242.652  4528490.00    278863.88  66394.26
 160  0.0263  0.1306  15414.238   390183.250  62981432.00   3318008.00  901788.84
 170  0.0279  0.1387  5024.623     1959.426  528636.06     10599.39  818127.05
 180  0.0296  0.1467  5289.092     3671.885  552572.62     18034.50  1124085.46
 190  0.0312  0.1547  1394.387     2380.334  349234.75      8243.41  621774.41
 200  0.0328  0.1627  1115.154     1496.378  257002.34      7256.53  458799.37
 210  0.0345  0.1707   425.610      935.683  182430.38      5406.17  341678.44
 220  0.0361  0.1787   288.535      636.496  128174.86      3715.64  212078.90
 230  0.0378  0.1866   193.465      752.527  107030.86      2270.88  167458.46
 240  0.0394  0.1945    50.400      440.500  98979.12      1778.54  108717.91
 250  0.0411  0.2024    49.368      454.052  101311.65      2622.58  102798.24
 260  0.0427  0.2103    64.111      476.036  112720.11      2726.80  104514.93
 270  0.0443  0.2181    36.112      587.146  125215.98      3477.69  81293.97
 280  0.0460  0.2259    26.265      540.306  145181.20      3568.94  88886.01
 290  0.0476  0.2337    42.230      429.231  159593.73      3532.96  90595.83
