epoch,cls_loss,align,disc_acc,f1_photo,f1_art_painting,f1_cartoon,acc_photo,acc_art_painting,acc_cartoon,mean_val_f1,best
0,0.5342280408872172,0.2282370880906805,0.0,0.9434874561819833,0.8543863304701093,0.9080897363857696,0.9520958083832335,0.8560975609756097,0.8997867803837953,0.9019878410126206,1
1,0.22635041015782378,0.1901949274128881,0.0,0.9433159271261301,0.8773920887128323,0.9313671896966336,0.9520958083832335,0.8853658536585366,0.9253731343283582,0.9173584018451987,1
2,0.1799525306674794,0.18910311478112132,0.0,0.9492276351016132,0.8958065237296449,0.9416627471516863,0.9550898203592815,0.8951219512195122,0.9339019189765458,0.9288989686609814,1
3,0.1320016484459853,0.1761109529457656,0.0,0.9499549779924896,0.9130940215727775,0.9443304712646607,0.9580838323353293,0.9146341463414634,0.9381663113006397,0.9357931569433093,1
4,0.08429654206842037,0.1711379982567773,0.0,0.9672785375343856,0.8968959510121737,0.9485987927858418,0.9730538922155688,0.8951219512195122,0.9424307036247335,0.9375910937774671,1
5,0.08999901319041921,0.17087541072826667,0.0,0.9530074584602968,0.8538774752191597,0.9296373498005471,0.9610778443113772,0.8439024390243902,0.9232409381663113,0.9121740944933346,0
6,0.07036935377480655,0.17159086553921254,0.0,0.9859096328446508,0.9147242003205731,0.9430844723322379,0.9880239520958084,0.9121951219512195,0.9381663113006397,0.9479061018324874,1
7,0.06204118452544136,0.1680258888329191,0.0,0.94928982966624,0.9212115238727777,0.9267637422237212,0.9550898203592815,0.9146341463414634,0.9189765458422174,0.9324216985875795,0
8,0.07423383707703628,0.16521469536673258,0.0,0.9497796530854367,0.8971174851715953,0.9497589870712416,0.9550898203592815,0.9,0.9424307036247335,0.9322187084427579,0
9,0.057957795677991045,0.1719115508600996,0.0,0.9560129963354961,0.9002815385941997,0.93905643066259,0.9640718562874252,0.9048780487804878,0.9360341151385928,0.9317836551974286,0
10,0.05163097352229903,0.1632105957698352,0.0,0.9573759378560052,0.9189780556704571,0.9339061035998572,0.9610778443113772,0.9219512195121952,0.929637526652452,0.9367533657087731,0
11,0.0791570342150448,0.1643365263351666,0.0,0.9518134671438438,0.8962405564541301,0.9515256356143407,0.9580838323353293,0.8975609756097561,0.9466950959488273,0.9331932197374382,0
