true_class,pred_label,score,accepted,group
cat,cat,-9.628212,True,other
ship,ship,-9.9176035,True,other
ship,ship,-6.74602,True,other
airplane,airplane,-7.5128493,True,other
frog,frog,-9.633694,True,other
frog,frog,-9.609259,True,other
automobile,automobile,-8.531446,True,other
frog,frog,-9.13573,True,other
cat,cat,-10.064812,True,other
automobile,automobile,-8.761614,True,other
airplane,airplane,-9.58776,True,other
truck,truck,-9.7942505,True,other
dog,dog,-10.308516,True,other
horse,horse,-10.062835,True,other
truck,truck,-11.016915,True,other
ship,ship,-6.882526,True,other
dog,dog,-10.170013,True,other
horse,horse,-9.560575,True,other
ship,ship,-9.755522,True,other
frog,frog,-9.1249,True,other
horse,horse,-7.8160286,True,other
airplane,airplane,-10.286239,True,other
deer,deer,-5.604103,False,other
truck,truck,-9.122657,True,other
dog,dog,-11.5608225,True,other
bird,bird,-7.9104977,True,other
deer,deer,-10.098629,True,other
airplane,airplane,-10.960302,True,other
truck,truck,-9.54336,True,other
frog,frog,-9.429843,True,other
frog,frog,-9.18984,True,other
dog,dog,-8.684843,True,other
deer,deer,-7.8163548,True,other
dog,dog,-9.163871,True,other
truck,truck,-9.929905,True,other
bird,bird,-8.435098,True,other
deer,deer,-7.379738,True,other
automobile,truck,-7.490424,True,other
truck,truck,-10.080392,True,other
dog,dog,-9.636797,True,other
deer,deer,-8.996241,True,other
frog,frog,-10.233969,True,other
dog,dog,-9.879262,True,other
frog,frog,-9.61325,True,other
airplane,airplane,-11.380123,True,other
truck,truck,-9.28183,True,other
cat,cat,-8.175826,True,other
truck,ship,-6.6470704,True,other
horse,horse,-9.20782,True,other
frog,frog,-9.472614,True,other
truck,truck,-10.051043,True,other
ship,ship,-10.22975,True,other
airplane,dog,-4.374823,False,other
cat,cat,-10.027964,True,other
ship,ship,-8.9907055,True,other
ship,ship,-12.405364,True,other
horse,horse,-11.143868,True,other
horse,horse,-8.703621,True,other
deer,horse,-6.832852,True,other
frog,cat,-7.6555047,True,other
horse,horse,-9.086483,True,other
cat,dog,-7.9026823,True,other
frog,frog,-10.728847,True,other
cat,cat,-5.819366,True,other
frog,frog,-10.361899,True,other
bird,bird,-10.976112,True,other
automobile,automobile,-8.999084,True,other
bird,bird,-8.336418,True,other
cat,cat,-9.459923,True,other
horse,horse,-8.195874,True,other
bird,bird,-7.3464913,True,other
frog,frog,-9.401859,True,other
ship,ship,-9.064535,True,other
ship,ship,-9.702097,True,other
