epoch,lr,loss,cls,val_acc,best
0,0.1,2.235491836852158,2.235491836852158,0.2954,1
1,0.09997532801828658,1.7859485570521776,1.7859485570521776,0.4358,1
2,0.09990133642141358,1.5658851508741025,1.5658851508741025,0.4724,1
3,0.099778098230154,1.33072619322698,1.33072619322698,0.5784,1
4,0.0996057350657239,1.1665928992111119,1.1665928992111119,0.6322,1
5,0.09938441702975688,1.0473468016695093,1.0473468016695093,0.6576,1
6,0.09911436253643444,0.9308155466009069,0.9308155466009069,0.7188,1
7,0.09879583809693737,0.8341532082978816,0.8341532082978816,0.7024,0
8,0.09842915805643156,0.7816353588022737,0.7816353588022737,0.7502,1
9,0.09801468428384716,0.7319260214129065,0.7319260214129065,0.763,1
10,0.09755282581475769,0.7022794597169273,0.7022794597169273,0.787,1
11,0.09704403844771128,0.6736730924698702,0.6736730924698702,0.7898,1
12,0.09648882429441258,0.6598355253877124,0.6598355253877124,0.7806,0
13,0.09588773128419906,0.633593535745925,0.633593535745925,0.7656,0
14,0.09524135262330098,0.618999787630179,0.618999787630179,0.7854,0
15,0.0945503262094184,0.6015973155654734,0.6015973155654734,0.818,1
16,0.09381533400219319,0.5886580045746262,0.5886580045746262,0.8142,0
17,0.0930371013501972,0.574334713893059,0.574334713893059,0.8302,1
18,0.09221639627510078,0.5656501813831493,0.5656501813831493,0.8012,0
19,0.09135402871372812,0.553532409277397,0.553532409277397,0.8348,1
20,0.09045084971874741,0.5479978481758694,0.5479978481758694,0.8332,0
21,0.08950775061878455,0.5301652906457244,0.5301652906457244,0.8348,0
22,0.0885256621387895,0.5312247126870006,0.5312247126870006,0.8132,0
23,0.08750555348152302,0.5185633767873813,0.5185633767873813,0.8142,0
24,0.08644843137107061,0.5130973925278057,0.5130973925278057,0.8426,1
25,0.0853553390593274,0.500496678033106,0.500496678033106,0.8346,0
26,0.08422735529643446,0.4983115861898134,0.4983115861898134,0.8462,1
27,0.08306559326618262,0.4830354615578964,0.4830354615578964,0.8102,0
28,0.08187119948743452,0.4782889292620526,0.4782889292620526,0.8486,1
29,0.08064535268264886,0.4711230065238442,0.4711230065238442,0.838,0
30,0.0793892626146237,0.46803252929635875,0.46803252929635875,0.8456,0
31,0.07810416889260657,0.4607040293705769,0.4607040293705769,0.8434,0
32,0.07679133974894986,0.44316862383459366,0.44316862383459366,0.8406,0
33,0.0754520707875186,0.4501653257598225,0.4501653257598225,0.8528,1
34,0.0740876837050858,0.4501787705129368,0.4501787705129368,0.8714,1
35,0.07269952498697738,0.4277335330631658,0.4277335330631658,0.8208,0
36,0.07128896457825366,0.43149963335433916,0.43149963335433916,0.8562,0
37,0.06985739453173906,0.4232662127822892,0.4232662127822892,0.853,0
38,0.06840622763423394,0.4241404356355341,0.4241404356355341,0.8694,0
39,0.06693689601226462,0.40647825454375003,0.40647825454375003,0.8608,0
40,0.06545084971874741,0.40774054413507466,0.40774054413507466,0.8604,0
41,0.06394955530196152,0.3964657066894053,0.3964657066894053,0.8744,1
42,0.062434494358242776,0.3938309459859489,0.3938309459859489,0.876,1
43,0.06090716206982718,0.3923541178390851,0.3923541178390851,0.8942,1
44,0.05936906572928628,0.3788092594880324,0.3788092594880324,0.8404,0
45,0.05782172325201159,0.3731061955887368,0.3731061955887368,0.8148,0
46,0.056266661678215264,0.36680157164223176,0.36680157164223176,0.8812,0
47,0.05470541566592575,0.3582446611674763,0.3582446611674763,0.8856,0
48,0.053139525976465714,0.3497244379034749,0.3497244379034749,0.869,0
49,0.05157053795390645,0.3464542595919041,0.3464542595919041,0.8718,0
50,0.05000000000000004,0.3418867225490744,0.3418867225490744,0.8668,0
51,0.04842946204609362,0.3318824842359945,0.3318824842359945,0.8932,0
52,0.04686047402353437,0.32719936325848953,0.32719936325848953,0.886,0
53,0.045294584334074316,0.31741706700066896,0.31741706700066896,0.878,0
54,0.043733338321784825,0.3115362295737633,0.3115362295737633,0.9072,1
55,0.042178276747988484,0.30700553864495367,0.30700553864495367,0.9028,0
56,0.0406309342707138,0.2969342356818354,0.2969342356818354,0.8796,0
57,0.039092837930172916,0.2951815186063109,0.2951815186063109,0.8878,0
58,0.037565505641757285,0.2895316704046353,0.2895316704046353,0.898,0
59,0.03605044469803857,0.2810090232396398,0.2810090232396398,0.9046,0
60,0.034549150281252675,0.2716343880463869,0.2716343880463869,0.8996,0
61,0.03306310398773546,0.2556742034916185,0.2556742034916185,0.9052,0
62,0.031593772365766146,0.25422866757099444,0.25422866757099444,0.8942,0
63,0.030142605468260992,0.2438848506648656,0.2438848506648656,0.9138,1
64,0.028711035421746394,0.2396111380085986,0.2396111380085986,0.9094,0
65,0.027300475013022688,0.22903059304100157,0.22903059304100157,0.9114,0
66,0.025912316294914254,0.22309993184105284,0.22309993184105284,0.9198,1
67,0.02454792921248146,0.2149244627551815,0.2149244627551815,0.9098,0
68,0.02320866025105018,0.20759512622047355,0.20759512622047355,0.9146,0
69,0.021895831107393487,0.1965885006124817,0.1965885006124817,0.9296,1
70,0.02061073738537637,0.18563129175507445,0.18563129175507445,0.9272,0
71,0.01935464731735119,0.1824968290910592,0.1824968290910592,0.9236,0
72,0.018128800512565532,0.1759956091684833,0.1759956091684833,0.925,0
73,0.016934406733817433,0.1589785322780453,0.1589785322780453,0.9348,1
74,0.01577264470356558,0.15167602055050708,0.15167602055050708,0.9282,0
75,0.014644660940672643,0.14382483118195138,0.14382483118195138,0.9354,1
76,0.013551568628929448,0.13891424784208634,0.13891424784208634,0.9394,1
77,0.012494446518477033,0.12850374929033792,0.12850374929033792,0.9396,1
78,0.011474337861210555,0.12262258434567357,0.12262258434567357,0.9398,1
79,0.01049224938121549,0.10975024991395467,0.10975024991395467,0.9494,1
